CyaniteTaggingExport_AubinHuet_050821;;;;;;;;;;;;
FILE NAME;DURATION;KEY;MOST SIGNIFICANT PART;ALL MOOD MEANS - Gives information about the average mood mix and the presence of all moods in the song.;MOODS (MOST DOMINANT);VALENCE;AROUSAL;ENERGY LEVEL;EMOTIONAL PROFILE;ENERGY DYNAMICS;EMOTIONAL DYNAMICS;KEYWORDS - these keywords can be customized as part of our „Keyword Cleaning”
7. Capriccio in D minor.mp3.mp3;123;A minor;15 - 45;Sad : 0.50, Romantic : 0.42, Dark : 0.38, Epic : 0.38, Chilled : 0.30, Energetic : 0.30, Calm : 0.28, Spherical : 0.23, Happy : 0.22, Scary : 0.16, Uplifting : 0.12, Aggressive : 0.06, Sexy : 0.03;sad;-0.39;0.02;variable;negative;high;medium;classical, sad, romantic, calm, classical influence, emotional, sentimental, epic, chilled, love, tender, moderate, touching, feeling, emotion, affecting, romance, soft, soulful, dark
7. Sehr rasch.mp3.mp3;133;C minor;60 - 90;Sad : 0.56, Dark : 0.45, Romantic : 0.45, Epic : 0.37, Calm : 0.34, Chilled : 0.32, Spherical : 0.27, Energetic : 0.22, Scary : 0.22, Happy : 0.16, Uplifting : 0.07, Aggressive : 0.06, Sexy : 0.02;sad;-0.54;-0.12;medium;negative;medium;medium;classical, sad, calm, romantic, emotional, classical influence, sentimental, moderate, chilled, dark, tender, touching, love, feeling, affecting, epic, emotion, romance, soft, spherical
12 Violin Sonatas, Op. 5 no. 8 - IV. Giga.flac.mp3;111;D major;45 - 75;Epic : 0.62, Romantic : 0.49, Sad : 0.48, Energetic : 0.31, Chilled : 0.30, Spherical : 0.26, Happy : 0.24, Dark : 0.23, Calm : 0.21, Uplifting : 0.12, Scary : 0.09, Aggressive : 0.03, Sexy : 0.02;epic, sad;-0.27;0.10;medium;balanced;low;low;classical, epic, romantic, classical influence, emotional, sad, love, sentimental, calm, romance, tender, feeling, touching, chilled, emotion, affecting, moderate, soulful, soft, passionate
2 Legendes, S. 175 - II. St. Francois de Paule marchant sur les flots.flac.mp3;237;Ab major;60 - 90;Sad : 0.71, Calm : 0.66, Chilled : 0.57, Dark : 0.56, Romantic : 0.52, Spherical : 0.49, Epic : 0.17, Scary : 0.17, Happy : 0.06, Energetic : 0.05, Aggressive : 0.03, Sexy : 0.03, Uplifting : 0.02;calm, chilled, dark, romantic, sad;-0.75;-0.57;low;negative;low;low;calm, chilled, moderate, chillout, tender, smooth, spherical, sphere, soft, sentimental, touching, feeling, relaxed, emotion, contemplative, romantic, floating, atmosphere, gentle, emotional
8. Schnell und spielend.mp3.mp3;217;G minor;45 - 75;Sad : 0.63, Dark : 0.55, Romantic : 0.48, Calm : 0.43, Chilled : 0.38, Spherical : 0.32, Epic : 0.28, Scary : 0.23, Energetic : 0.14, Happy : 0.14, Aggressive : 0.05, Uplifting : 0.04, Sexy : 0.02;dark, sad;-0.65;-0.29;medium;negative;low;low;classical, calm, sad, romantic, moderate, chilled, emotional, sentimental, tender, dark, touching, soft, feeling, love, spherical, sphere, smooth, emotion, affecting, contemplative
12 Etudes, Op. 8 - 12. Étude in D sharp minor (Étude pathétique).m4a.mp3;185;D# minor;45 - 75;Sad : 0.55, Epic : 0.51, Romantic : 0.48, Dark : 0.37, Chilled : 0.32, Calm : 0.31, Energetic : 0.26, Spherical : 0.26, Happy : 0.18, Scary : 0.16, Uplifting : 0.08, Aggressive : 0.05, Sexy : 0.02;epic, sad;-0.49;-0.05;medium;negative;medium;low;classical, romantic, sad, calm, epic, emotional, sentimental, love, chilled, tender, moderate, touching, feeling, classical influence, romance, emotion, affecting, soft, soulful, smooth
2 Legendes, S. 175 - II. St. Francois d' Assise, La predication aux oiseaux.flac.mp3;583;Ab major;75 - 105;Calm : 0.81, Chilled : 0.76, Romantic : 0.75, Sad : 0.71, Spherical : 0.43, Dark : 0.30, Happy : 0.15, Epic : 0.12, Scary : 0.05, Sexy : 0.04, Energetic : 0.03, Uplifting : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.56;-0.73;low;negative;low;low;calm, chilled, moderate, romantic, tender, chillout, smooth, soft, relaxed, sentimental, feeling, touching, love, gentle, romance, emotion, soulful, emotional, contemplative, easy
12 Violin Sonatas, Op. 5 no. 8 - II. Allemanda.flac.mp3;215;D minor;45 - 75;Sad : 0.59, Dark : 0.51, Chilled : 0.49, Spherical : 0.49, Calm : 0.48, Romantic : 0.43, Epic : 0.25, Scary : 0.21, Happy : 0.17, Energetic : 0.11, Aggressive : 0.04, Uplifting : 0.04, Sexy : 0.03;dark, sad;-0.54;-0.35;low;variable;medium;high;classical, calm, chilled, moderate, spherical, sphere, tender, chillout, sentimental, soft, smooth, emotional, atmosphere, touching, feeling, romantic, sad, emotion, affecting, contemplative
Andantino 'Spring', B. 117.m4a.mp3;87;G minor;30 - 60;Calm : 0.92, Romantic : 0.91, Chilled : 0.90, Sad : 0.70, Spherical : 0.39, Happy : 0.27, Dark : 0.14, Epic : 0.07, Sexy : 0.06, Energetic : 0.02, Scary : 0.02, Uplifting : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.37;-0.89;low;negative;low;low;calm, chilled, chillout, tender, smooth, moderate, relaxed, romantic, soft, feeling, sentimental, touching, emotion, gentle, love, easy, romance, soulful, tranquil, laid back
5. Sehr lebhaft.mp3.mp3;176;G minor;60 - 90;Romantic : 0.60, Sad : 0.55, Chilled : 0.51, Calm : 0.46, Dark : 0.32, Happy : 0.28, Spherical : 0.25, Epic : 0.21, Energetic : 0.14, Scary : 0.12, Uplifting : 0.06, Aggressive : 0.04, Sexy : 0.03;chilled, romantic, sad;-0.36;-0.32;medium;negative;low;medium;classical, calm, romantic, chilled, tender, moderate, love, emotional, soft, romance, sentimental, smooth, chillout, feeling, touching, gentle, emotion, relaxed, soulful, sad
