PrimaryKey,Filename,Quality,Piece,Composer,Performer,Instrument,License,Link,Chunks
1,"Symphony no. 5 in Cm, Op. 67 - I. Allegro con brio.mp3",Mid,"Symphony no. 5 in Cm, Op. 67 - I. Allegro con brio",Beethoven L.,Davis High School Symphony Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2567-symphony-no-5-in-c-minor-op-67/,167
2,"Symphony no. 5 in Cm, Op. 67 - II. Andante con moto.mp3",Mid,"Symphony no. 5 in Cm, Op. 67 - II. Andante con moto",Beethoven L.,Davis High School Symphony Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2567-symphony-no-5-in-c-minor-op-67/,255
3,"Symphony no. 5 in Cm, Op. 67 - III. Allegro.mp3",Mid,"Symphony no. 5 in Cm, Op. 67 - III. Allegro",Beethoven L.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2567-symphony-no-5-in-c-minor-op-67/,103
4,"Symphony no. 5 in Cm, Op. 67 - IV. Allegro.mp3",Mid,"Symphony no. 5 in Cm, Op. 67 - IV. Allegro",Beethoven L.,Davis High School Symphony Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2567-symphony-no-5-in-c-minor-op-67/,230
5,Swan Lake Op.20 - Act I Intro.flac,Low,Swan Lake Op.20 - Act I Intro,Tchaikovsky P. I.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/42995-swan-lake-op-20/,469
6,Swan Lake Op.20 - Act II Pt.1.flac,Low,Swan Lake Op.20 - Act II Pt.1,Tchaikovsky P. I.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/42995-swan-lake-op-20/,77
7,Swan Lake Op.20 - Act II Concl.flac,Low,Swan Lake Op.20 - Act II Concl,Tchaikovsky P. I.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/42995-swan-lake-op-20/,101
8,Swan Lake Op.20 - Act III Pt.1.flac,Low,Swan Lake Op.20 - Act III Pt.1,Tchaikovsky P. I.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/42995-swan-lake-op-20/,286
9,"Swan Lake Op.20 - Act III Concl, Allegro.flac",Low,"Swan Lake Op.20 - Act III Concl, Allegro",Tchaikovsky P. I.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/42995-swan-lake-op-20/,537
10,Swan Lake Op.20 - Act IV Intro.flac,Low,Swan Lake Op.20 - Act IV Intro,Tchaikovsky P. I.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/42995-swan-lake-op-20/,529
11,"I. Mars, the Bringer of War.m4a",High,"I. Mars, the Bringer of War",Holst G.,USAF Heritage Of America Band,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/43775-the-planets-op-32/,227
12,"II. Venus, the Bringer of Peace.m4a",High,"II. Venus, the Bringer of Peace",Holst G.,USAF Heritage Of America Band,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/43775-the-planets-op-32/,121
13,La Mer - 1 - De l'aube a midi sur la mer.mp3,High,La Mer - 1 - De l'aube a midi sur la mer,Debussy C.,US Air Force Band,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/14381-la-mer/,180
14,La Mer - 2 - Jeux de vagues.mp3,High,La Mer - 2 - Jeux de vagues,Debussy C.,US Air Force Band,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/14381-la-mer/,181
15,La Mer - 3 - Dialogue du vent et de la mer.mp3,High,La Mer - 3 - Dialogue du vent et de la mer,Debussy C.,US Air Force Band,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/14381-la-mer/,139
16,Symphonic Sketches - II. Noel.mp3,High,Symphonic Sketches - II. Noel,Chadwick G. W.,US Air Force Band,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/33416-symphonic-sketches/,135
